sample_name,library,filename,filename2,library_ID
RIAIL_123,CB-2,RIAIL_123_S500_L006_R1_001.fastq.gz,RIAIL_123_S500_L006_R2_001.fastq.gz,RIAIL_123:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_124,CB-2,RIAIL_124_S501_L006_R1_001.fastq.gz,RIAIL_124_S501_L006_R2_001.fastq.gz,RIAIL_124:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_125,CB-2,RIAIL_125_S502_L006_R1_001.fastq.gz,RIAIL_125_S502_L006_R2_001.fastq.gz,RIAIL_125:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_126,CB-2,RIAIL_126_S503_L006_R1_001.fastq.gz,RIAIL_126_S503_L006_R2_001.fastq.gz,RIAIL_126:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_127,CB-2,RIAIL_127_S504_L006_R1_001.fastq.gz,RIAIL_127_S504_L006_R2_001.fastq.gz,RIAIL_127:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_128,CB-2,RIAIL_128_S505_L006_R1_001.fastq.gz,RIAIL_128_S505_L006_R2_001.fastq.gz,RIAIL_128:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_129,CB-2,RIAIL_129_S506_L006_R1_001.fastq.gz,RIAIL_129_S506_L006_R2_001.fastq.gz,RIAIL_129:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_130,CB-2,RIAIL_130_S507_L006_R1_001.fastq.gz,RIAIL_130_S507_L006_R2_001.fastq.gz,RIAIL_130:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_131,CB-2,RIAIL_131_S508_L006_R1_001.fastq.gz,RIAIL_131_S508_L006_R2_001.fastq.gz,RIAIL_131:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_132,CB-2,RIAIL_132_S509_L006_R1_001.fastq.gz,RIAIL_132_S509_L006_R2_001.fastq.gz,RIAIL_132:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_133,CB-2,RIAIL_133_S510_L006_R1_001.fastq.gz,RIAIL_133_S510_L006_R2_001.fastq.gz,RIAIL_133:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_134,CB-2,RIAIL_134_S511_L006_R1_001.fastq.gz,RIAIL_134_S511_L006_R2_001.fastq.gz,RIAIL_134:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_135,CB-2,RIAIL_135_S512_L006_R1_001.fastq.gz,RIAIL_135_S512_L006_R2_001.fastq.gz,RIAIL_135:CB-2:paired:WGS:IlluminaHiSeq4000
RIAIL_136,CB-2,RIAIL_136_S513_L006_R1_001.fastq.gz,RIAIL_136_S513_L006_R2_001.fastq.gz,RIAIL_136:CB-2:paired:WGS:IlluminaHiSeq4000
