block,sort_plate,well,dil_fact,rand_id,line_id,lawn_note,censor,growth type,well_note,time_washed,date_sort,sorter_source_well,L1_VP604,L1_MA,L1_plus_VP604,L1_plus_MA,source_file,,,,
1,2,G01,5,157,,,,normal,,2:00 PM,4-Jul,G1,1908,423,95,4,20170704_Plate4_acquisition_1.processed,,,,
1,2,G02,5,158,,,,normal,,2:00 PM,4-Jul,G2,1362,843,79,9,20170704_Plate4_acquisition_1.processed,,,,
1,2,G03,5,159,,,,normal,,2:00 PM,4-Jul,G3,870,1464,60,34,20170704_Plate4_acquisition_1.processed,,,,
1,2,G04,5,160,,,,normal,,2:00 PM,4-Jul,G4,2272,63,182,0,20170704_Plate4_acquisition_1.processed,,,,
1,2,G05,5,161,,,,normal,,2:00 PM,4-Jul,G5,994,930,74,50,20170704_Plate4_acquisition_1.processed,,,,
1,2,G06,5,162,,,,normal,,2:00 PM,4-Jul,G6,1290,1219,79,11,20170704_Plate4_acquisition_1.processed,,,,
1,2,G07,5,181,,,,normal,,2:00 PM,4-Jul,G7,834,811,53,2,20170704_Plate4_acquisition_1.processed,,,,
1,2,G08,5,182,,,,normal,,2:00 PM,4-Jul,G8,733,1141,57,39,20170704_Plate4_acquisition_1.processed,,,,
1,2,G09,5,183,,,,normal,,2:00 PM,4-Jul,G9,832,1462,67,69,20170704_Plate4_acquisition_1.processed,,,,
1,2,G10,5,184,,,,normal,,2:00 PM,4-Jul,G10,1223,31,114,1,20170704_Plate4_acquisition_1.processed,,,,
1,2,G11,5,185,,,,normal,,2:00 PM,4-Jul,G11,848,811,63,33,20170704_Plate4_acquisition_1.processed,,,,
1,2,G12,5,186,,,,normal,,2:00 PM,4-Jul,G12,1053,620,55,10,20170704_Plate4_acquisition_1.processed,,,,
1,2,H01,5,,,,,normal,,2:00 PM,4-Jul,H1,3,8,1,2,20170704_Plate4_acquisition_1.processed,,,,
1,2,H02,5,164,,,,normal,,2:00 PM,4-Jul,H2,1129,536,56,1,20170704_Plate4_acquisition_1.processed,,,,
1,2,H03,5,165,,,,normal,,2:00 PM,4-Jul,H3,719,819,41,19,20170704_Plate4_acquisition_1.processed,,,,
1,2,H04,5,166,,,,normal,,2:00 PM,4-Jul,H4,937,1065,59,29,20170704_Plate4_acquisition_1.processed,,,,
1,2,H05,5,167,,,,normal,,2:00 PM,4-Jul,H5,1561,348,92,2,20170704_Plate4_acquisition_1.processed,,,,
1,2,H06,5,168,,,,normal,,2:00 PM,4-Jul,H6,665,978,57,43,20170704_Plate4_acquisition_1.processed,,,,
1,2,H07,5,187,,,,normal,,2:00 PM,4-Jul,H7,564,798,46,30,20170704_Plate4_acquisition_1.processed,,,,
1,2,H08,5,188,,,,normal,,2:00 PM,4-Jul,H8,519,1268,56,45,20170704_Plate4_acquisition_1.processed,,,,
1,2,H09,5,189,,,,normal,,2:00 PM,4-Jul,H9,919,580,52,3,20170704_Plate4_acquisition_1.processed,,,,
1,2,H10,5,190,,,,normal,,2:00 PM,4-Jul,H10,1262,606,66,4,20170704_Plate4_acquisition_1.processed,,,,
1,2,H11,5,191,,,,normal,,2:00 PM,4-Jul,H11,1904,49,130,4,20170704_Plate4_acquisition_1.processed,,,,
1,2,H12,5,192,,,,normal,,2:00 PM,4-Jul,H12,1614,912,121,10,20170704_Plate4_acquisition_1.processed,,,,
1,3,A01,5,193,,,,normal,,3:06 PM,4-Jul,A1,1193,865,190,36,20170704_Plate5_acquisition_1.processed,,,,
1,3,A02,5,194,,,,normal,,3:06 PM,4-Jul,A2,1067,1169,127,76,20170704_Plate5_acquisition_1.processed,,,,
